,Number,Latitude,Longitude,Address
0,1,50.112838,8.700014,"ARAL Station
DKV-Nr: 3475609
Hanauer Landstr. 34 - 40
DE-60314 Frankfurt
Tel.: 069 491523"
1,2,50.102321,8.696065,"ARAL Station
DKV-Nr: 3475614
Siemensstr. 37
DE-60594 Frankfurt
Tel.: 069 622953"
2,3,50.121871,8.669023,"ARAL Station
DKV-Nr: 3475610
Grueneburgweg 67
DE-60323 Frankfurt
Tel.: 069 723810"
3,4,50.098674,8.668948,"ESSO Station
DKV-Nr: 0003913
Stresemannallee 10
DE-60596 Frankfurt am Main
Tel.: 069 637745"
4,5,50.089805,8.69092,"ARAL Station
DKV-Nr: 0070130
Darmstaedter Landstr. 304
DE-60598 Frankfurt am Main
Tel.: 069 6809040"
5,6,50.125228,8.70968,"ESSO Station
DKV-Nr: 0003180
Spessartstr. 22 - 24
DE-60385 Frankfurt am Main
Tel.: 069 434317"
6,7,50.090965,8.662414,"SHELL Station
DKV-Nr: 0004536
Kennedyallee 120
DE-60596 Frankfurt am Main
Tel.: 069 671071"
7,8,50.133557,8.696076,"ARAL Station
DKV-Nr: 3470098
Friedberger Landstr. 300
DE-60389 Frankfurt am Main
Tel.: 069 95510710"
8,9,50.114153,8.720939,"ESSO Station
DKV-Nr: 0003044
Hanauer Landstr. 178
DE-60314 Frankfurt am Main
Tel.: 069 441320"
9,10,50.133877,8.705941,"AGIP Station
DKV-Nr: 0006338
Dortelweiler Str. 49
DE-60389 Frankfurt am Main
Tel.: 069 461333"
10,11,50.123361,8.723601,"ARAL Station
DKV-Nr: 0070722
Ratsweg 12
DE-60386 Frankfurt am Main
Tel.: 069 413968"
11,12,50.14042,8.698238,"ARAL Station
DKV-Nr: 0010176
Friedberger Landstr. 325
DE-60389 Frankfurt am Main
Tel.: 069 13025453"
12,13,50.122931,8.729281,"METRO C&C Station
DKV-Nr: 0018252
Am Riederbruch 10
DE-60386 Frankfurt am Main
Tel.: 069 40143669"
13,14,50.143023,8.69645,"ARAL Station
DKV-Nr: 3475612
Homburger Landstr. 42
DE-60435 Frankfurt
Tel.: 069 541237"
14,15,50.144009,8.668844,"SHELL Station
DKV-Nr: 0004937
Eschersheimer Landstr. 328
DE-60320 Frankfurt
Tel.: +49 6995630431"
15,16,50.079844,8.655097,"ARAL Station
DKV-Nr: 0070109
Forsthausstr. 50
DE-60596 Frankfurt am Main
Tel.: 069 671026"
16,17,50.120668,8.735397,"Mr. Wash Station
DKV-Nr: 9984242
Hanauer Landstr. 419
DE-60314 Frankfurt
Tel.: 069 411059"
17,18,50.101602,8.626649,"ESSO Station
DKV-Nr: 0003577
Mainzer Landstr. 378
DE-60326 Frankfurt am Main
Tel.: 069 733399"
18,19,50.088521,8.635994,"H2 MOBILITY Wasserstoff Station
DKV-Nr: 3493022
Niederräder Ufer 51
DE-60528 Frankfurt a. M."
19,20,50.088528,8.635865,"SHELL Station
DKV-Nr: 0004429
Niederräder Ufer 51
DE-60528 Frankfurt am Main
Tel.: 069 675070"
20,21,50.075538,8.654099,"SHELL Station
DKV-Nr: 3433311
Mörfelder Landstr. 377
DE-60528 Frankfurt am Main
Tel.: 069 679705"
21,22,50.122903,8.742274,"SHELL Station
DKV-Nr: 3404442
Hanauer Landstr. 334 b
DE-60314 Frankfurt am Main
Tel.: 069 423098"
22,23,50.147928,8.656465,"TotalEnergies Station
DKV-Nr: 0045372
Kurhessenstr. 111
DE-60431 Frankfurt am Main
Tel.: 069 512131"
