,Number,Latitude,Longitude,Address
0,1,51.710725,8.74646,"ARAL Station
DKV-Nr: 0071439
Borchener Str. 42
DE-33098 Paderborn
Tel.: 05251 72335"
1,2,51.732231,8.764933,"ARAL Station
DKV-Nr: 0070410
Detmolder Str. 75
DE-33100 Paderborn
Tel.: 05251 527584"
2,3,51.712618,8.736459,"ARAL Station
DKV-Nr: 0010108
Bahnhofstr. 58
DE-33102 Paderborn
Tel.: 05251 37111"
3,4,51.726194,8.735155,"Q1 Station
DKV-Nr: 0049148
Neuhäuser Str. 102
DE-33102 Paderborn
Tel.: 05251 870944"
4,5,51.712153,8.733916,"MARKANT Station
DKV-Nr: 0096074
Bahnhofstr. 76
DE-33102 Paderborn
Tel.: 05251 34367"
5,6,51.703468,8.76657,"REAL Station
DKV-Nr: 0018261
Husener Str. 121
DE-33100 Paderborn
Tel.: 05251 61601"
6,7,51.734733,8.767004,"WESTFALEN Station
DKV-Nr: 0096007
Detmolder Str. 112
DE-33100 Paderborn
Tel.: 05251 56824"
7,8,51.706226,8.777159,"ARAL Station
DKV-Nr: 3470025
Warburger Str. 128
DE-33100 Paderborn
Tel.: 05251 62703"
8,9,51.706638,8.72941,"SHELL Station
DKV-Nr: 0050087
Grüner Weg 24
DE-33098 Paderborn
Tel.: 05251 750079"
9,10,51.72484,8.79496,"RAIFFEISEN Station
DKV-Nr: 3499173
Randebrockstr. 1
DE-33100 Paderborn
Tel.: 02921 39971"
10,11,51.6981,8.73232,"AVIA Station
DKV-Nr: 0005012
Frankfurter Weg 29
DE-33106 Paderborn
Tel.: 05251 760268"
11,12,51.70917,8.71458,"TP24Automat
DKV-Nr: 0081302
Balhorner Feld 4
DE-33106 Paderborn"
12,13,51.7455849,8.7415599,"ARAL Station
DKV-Nr: 0010090
Marienloher Str. 87
DE-33104 Paderborn
Tel.: 05254 2430"
13,14,51.693356,8.736733,"RAIFFEISEN Station
DKV-Nr: 3499175
Haller Str. 4
DE-33106 Paderborn
Tel.: 02921 39971"
14,15,51.7453775,8.731506,"ARAL Station
DKV-Nr: 0010583
Dubelohstr. 143
DE-33104 Paderborn
Tel.: 05254 939178"
15,16,51.702381,8.714696,"HOYER Station
DKV-Nr: 0099257
Oberes Feld 13
DE-33106 Paderborn"
16,17,51.742802,8.7077,"SHELL Station
DKV-Nr: 0004682
Münsterstr. 7
DE-33104 Paderborn
Tel.: 05254 977580"
17,18,51.743227,8.706585,"JET Station
DKV-Nr: 0018777
Münsterstr. 13 - 15
DE-33104 Paderborn
Tel.: 05254 6638134"
18,19,51.683249,8.721085,"ARAL Station
DKV-Nr: 0070764
Borchener Str. 336
DE-33106 Paderborn
Tel.: 05251 892905"
19,20,51.733788,8.6892775,"TotalEnergies Station
DKV-Nr: 0045430
Von-Ketteler-Str. 13
DE-33106 Paderborn
Tel.: 05254 5150"
20,21,51.692621,8.697025,"AVIA Station
DKV-Nr: 0005076
Kleestr. 39
DE-33106 Paderborn
Tel.: 05251 930168"
21,22,51.666928,8.723103,"ESSO Station
DKV-Nr: 0003737
Paderborner Str. 32
DE-33178 Borchen
Tel.: 05251 391916"
22,23,51.721917,8.850346,"RAIFFEISEN Station
DKV-Nr: 3499184
Driburger Str. 317
DE-33100 Paderborn
Tel.: 05293 930520"
23,24,51.788272,8.701569,"SHELL Station
DKV-Nr: 3404504
Bielefelder Str. 215
DE-33104 Paderborn
Tel.: 05254 3137"
24,25,51.64315,8.710018,"RAIFFEISEN Station
DKV-Nr: 3499633
Rudolf-Diesel-Str. 8
DE-33178 Borchen
Tel.: 05251 69099126"
25,26,51.789537,8.82677,"MARKANT Station
DKV-Nr: 0096142
Detmolder Str. 230
DE-33175 Bad Lippspringe
Tel.: 05252 9336467"
26,27,51.67849,8.62673,"SB Station
DKV-Nr: 0050197
Paderborner Str. 71
DE-33154 Salzkotten
Tel.: 05258 930759"
27,28,51.800763,8.83716,"ACCESS Station
DKV-Nr: 3451275
Paderborner Str. 78
DE-33189 Schlangen
Tel.: 05252 7109"
28,29,51.640963,8.665082,"ARAL Station
DKV-Nr: 3470097
Kleiner Hellweg 2
DE-33154 Salzkotten
Tel.: 05258 940605"
29,30,51.80286,8.839477,"STAR Station
DKV-Nr: 0002455
Paderborner Str. 47
DE-33189 Schlangen
Tel.: 05252 973782"
30,31,51.674159,8.61304,"CLASSIC Station
DKV-Nr: 0082135
Paderborner Str. 22
DE-33154 Salzkotten
Tel.: 04251 812235"
31,32,51.782229,8.624171,"WESTFALEN Station
DKV-Nr: 0096221
Bursdamm 1
DE-33129 Delbrück
Tel.: 05250 98780"
32,33,51.717664,8.931118,"AVIA Station
DKV-Nr: 0005036
Paderborner Str. 28
DE-33184 Altenbeken
Tel.: 05255 930810"
33,34,51.671141,8.600031,"RAIFFEISEN Station
DKV-Nr: 3499186
Geseker Str. 8
DE-33154 Salzkotten
Tel.: 02921 39971"
34,35,51.669987,8.598282,"ARAL Station
DKV-Nr: 0010986
Geseker Str. 21
DE-33154 Salzkotten
Tel.: 05258 935377"
35,36,51.738803,8.938633,"AVIA Station
DKV-Nr: 0098341
An der B 64 1
DE-33184 Altenbeken
Tel.: 05255 930860"
36,37,51.763258,8.928199,"SAUERWALD Station
DKV-Nr: 0099061
Adenauerstr. 1a
DE-33184 Altenbeken
Tel.: 05255 931 277"
37,38,51.81756621,8.66084212,"WESTFALEN Station
DKV-Nr: 0096082
Paderborner Str. 32
DE-33161 Hövelhof
Tel.: 05257 97990"
38,39,51.8185784,8.659728,"ARAL Station
DKV-Nr: 0010401
Paderborner Str. 22
DE-33161 Hövelhof
Tel.: 05257 2631"
39,40,51.76414,8.58116,"RAIFFEISEN Station
DKV-Nr: 3499697
Paderborner Str. 19
DE-33129 Delbrück
Tel.: 0572 1972529"
40,41,51.823876,8.653713,"AVIA Station
DKV-Nr: 0005022
Gütersloher Str. 15
DE-33161 Hövelhof
Tel.: 05257 3388"
41,42,51.596438,8.782631,"RAIFFEISEN Station
DKV-Nr: 3499187
Siebentalweg 1
DE-33165 Lichtenau
Tel.: 02921 39971"
42,43,51.763368,8.568971,"FREIE Station
DKV-Nr: 0010086
Oststr. 28
DE-33129 Delbrück
Tel.: 05250 933286"
43,44,51.763438,8.568826,"CLASSIC Station
DKV-Nr: 0082138
Oststr. 28
DE-33129 Delbrück
Tel.: 04251 812235"
44,45,51.620831,8.887762,"SHELL Station
DKV-Nr: 3404749
Lange Str. 2
DE-33165 Lichtenau
Tel.: 05295 930587"
45,46,51.759968,8.562368,"JET Station
DKV-Nr: 3418041
Boker Str. 8 b
DE-33129 Delbrück
Tel.: 05250 9364917"
46,47,51.828597,8.642539,"TP24Automat
DKV-Nr: 0081071
Industriestr. 3
DE-33161 Hövelhof"
